DS_ID,GeoCode,Continent,Country,MacroRegion,Region,Province,DistrictUnit,PostCode
"TR714","TR714","Europe (non EU)","Turkey","ORTA ANADOLU","Kırıkkale","Nevsehir","",""
"TR715","TR715","Europe (non EU)","Turkey","ORTA ANADOLU","Kırıkkale","Kırsehir","",""
"TR711","TR711","Europe (non EU)","Turkey","Kayseri","Kırıkkale","Kırıkkale","",""
"TR712","TR712","Europe (non EU)","Turkey","Kayseri","Kırıkkale","Aksaray","",""
"TR713","TR713","Europe (non EU)","Turkey","Kayseri","Kırıkkale","Nigde","",""
"TR714","TR714","Europe (non EU)","Turkey","Kayseri","Kırıkkale","Nevsehir","",""
"TR715","TR715","Europe (non EU)","Turkey","Kayseri","Kırıkkale","Kırsehir","",""
"TR723","TR723","Europe (non EU)","Turkey","ORTA ANADOLU","Kayseri","Yozgat","",""
"TR722","TR722","Europe (non EU)","Turkey","ORTA ANADOLU","Kayseri","Sivas","",""
"TR723","TR723","Europe (non EU)","Turkey","Kayseri","Kayseri","Yozgat","",""
"TR722","TR722","Europe (non EU)","Turkey","Kayseri","Kayseri","Sivas","",""
"TR812","TR812","Europe (non EU)","Turkey","BATI KARADENIZ","Zonguldak","Karabuk","",""
"TR813","TR813","Europe (non EU)","Turkey","BATI KARADENIZ","Zonguldak","Bartın","",""
"TR811","TR811","Europe (non EU)","Turkey","BATI KARADENIZ","Zonguldak","Zonguldak","",""
"TR822","TR822","Europe (non EU)","Turkey","BATI KARADENIZ","Kastamonu","Cankırı","",""
"TR823","TR823","Europe (non EU)","Turkey","BATI KARADENIZ","Kastamonu","Sinop","",""
"TR821","TR821","Europe (non EU)","Turkey","BATI KARADENIZ","Kastamonu","Kastamonu","",""
"TR832","TR832","Europe (non EU)","Turkey","BATI KARADENIZ","Samsun","Tokat","",""
"TR834","TR834","Europe (non EU)","Turkey","BATI KARADENIZ","Samsun","Amasya","",""
"TR833","TR833","Europe (non EU)","Turkey","BATI KARADENIZ","Samsun","Corum","",""
"TR831","TR831","Europe (non EU)","Turkey","BATI KARADENIZ","Samsun","Samsun","",""
"TR906","TR906","Europe (non EU)","Turkey","DOGU KARADENIZ","Trabzon","Gumushane","",""
"TR902","TR902","Europe (non EU)","Turkey","DOGU KARADENIZ","Trabzon","Ordu","",""
"TR903","TR903","Europe (non EU)","Turkey","DOGU KARADENIZ","Trabzon","Giresun","",""
"TR905","TR905","Europe (non EU)","Turkey","DOGU KARADENIZ","Trabzon","Artvin","",""
"TR904","TR904","Europe (non EU)","Turkey","DOGU KARADENIZ","Trabzon","Rize","",""
"TR901","TR901","Europe (non EU)","Turkey","DOGU KARADENIZ","Trabzon","Trabzon","",""
"TRA12","TRA12","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Erzurum","Erzincan","",""
"TRA13","TRA13","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Erzurum","Bayburt","",""
"TRA11","TRA11","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Erzurum","Erzurum","",""
"TRA22","TRA22","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Agrı","Kars","",""
"TRA21","TRA21","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Agrı","Agrı","",""
"TRA23","TRA23","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Agrı","Igdır","",""
"TRA24","TRA24","Europe (non EU)","Turkey","KUZEYDOGU ANADOLU","Agrı","Ardahan","",""
"TRB11","TRB11","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Malatya","Malatya","",""
"TRB13","TRB13","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Malatya","Bingol","",""
"TRB14","TRB14","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Malatya","Tunceli","",""
"TRB12","TRB12","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Malatya","Elazıg","",""
"TRB23","TRB23","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Van","Bitlis","",""
"TRB22","TRB22","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Van","Mus","",""
"TRB24","TRB24","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Van","Hakkari","",""
"TRB21","TRB21","Europe (non EU)","Turkey","ORTADOGU ANADOLU","Van","Van","",""
"TRC11","TRC11","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Gaziantep","Gaziantep","",""
"TRC12","TRC12","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Gaziantep","Adıyaman","",""
"TRC13","TRC13","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Gaziantep","Kilis","",""
"TRC21","TRC21","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Sanlıurfa","Sanlıurfa","",""
"TRC22","TRC22","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Sanlıurfa","Diyarbakır","",""
"TRC31","TRC31","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Mardin","Mardin","",""
"TRC34","TRC34","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Mardin","Siirt","",""
"TRC32","TRC32","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Mardin","Batman","",""
"TRC33","TRC33","Europe (non EU)","Turkey","GUNEYDOGU ANADOLU","Mardin","Sırnak","",""
"AT112","AT112","European Union","Austria","OSTÖSTERREICH","Burgenland (A)","Nordburgenland","",""
"AT111","AT111","European Union","Austria","OSTÖSTERREICH","Burgenland (A)","Mittelburgenland","",""
"AT113","AT113","European Union","Austria","OSTÖSTERREICH","Burgenland (A)","Südburgenland","",""
"AT121","AT121","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Mostviertel-Eisenwurzen","",""
"AT122","AT122","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Niederösterreich-Süd","",""
"AT125","AT125","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Weinviertel","",""
"AT123","AT123","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Sankt Pölten","",""
"AT124","AT124","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Waldviertel","",""
"AT126","AT126","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Wiener Umland/Nordteil","",""
"AT127","AT127","European Union","Austria","OSTÖSTERREICH","Niederösterreich","Wiener Umland/Südteil","",""
"AT130","AT130","European Union","Austria","OSTÖSTERREICH","Wien","Wien","",""
"AT211","AT211","European Union","Austria","SÜDÖSTERREICH","Kärnten","Klagenfurt-Villach","",""
"AT213","AT213","European Union","Austria","SÜDÖSTERREICH","Kärnten","Unterkärnten","",""
"AT212","AT212","European Union","Austria","SÜDÖSTERREICH","Kärnten","Oberkärnten","",""
"AT223","AT223","European Union","Austria","SÜDÖSTERREICH","Steiermark","Östliche Obersteiermark","",""
"AT224","AT224","European Union","Austria","SÜDÖSTERREICH","Steiermark","Oststeiermark","",""
"AT225","AT225","European Union","Austria","SÜDÖSTERREICH","Steiermark","West- und Südsteiermark","",""
"AT226","AT226","European Union","Austria","SÜDÖSTERREICH","Steiermark","Westliche Obersteiermark","",""
"AT221","AT221","European Union","Austria","SÜDÖSTERREICH","Steiermark","Graz","",""
"AT222","AT222","European Union","Austria","SÜDÖSTERREICH","Steiermark","Liezen","",""
"AT311","AT311","European Union","Austria","WESTÖSTERREICH","Oberösterreich","Innviertel","",""
"AT315","AT315","European Union","Austria","WESTÖSTERREICH","Oberösterreich","Traunviertel","",""
"AT314","AT314","European Union","Austria","WESTÖSTERREICH","Oberösterreich","Steyr-Kirchdorf","",""
"AT312","AT312","European Union","Austria","WESTÖSTERREICH","Oberösterreich","Linz-Wels","",""
"AT313","AT313","European Union","Austria","WESTÖSTERREICH","Oberösterreich","Mühlviertel","",""
"AT323","AT323","European Union","Austria","WESTÖSTERREICH","Salzburg","Salzburg und Umgebung","",""
"AT321","AT321","European Union","Austria","WESTÖSTERREICH","Salzburg","Lungau","",""
"AT322","AT322","European Union","Austria","WESTÖSTERREICH","Salzburg","Pinzgau-Pongau","",""
"AT334","AT334","European Union","Austria","WESTÖSTERREICH","Tirol","Tiroler Oberland","",""
"AT335","AT335","European Union","Austria","WESTÖSTERREICH","Tirol","Tiroler Unterland","",""
"AT333","AT333","European Union","Austria","WESTÖSTERREICH","Tirol","Osttirol","",""
"AT332","AT332","European Union","Austria","WESTÖSTERREICH","Tirol","Innsbruck","",""
"AT331","AT331","European Union","Austria","WESTÖSTERREICH","Tirol","Außerfern","",""
"AT341","AT341","European Union","Austria","WESTÖSTERREICH","Vorarlberg","Bludenz-Bregenzer Wald","",""
"AT342","AT342","European Union","Austria","WESTÖSTERREICH","Vorarlberg","Rheintal-Bodenseegebiet","",""
"ATZZZ","ATZZZ","European Union","Austria","EXTRA-REGIO","Extra-Regio","Extra-Regio","",""
"BE100","BE100","European Union","Belgium","RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","",""
"BE211","BE211","European Union","Belgium","VLAAMS GEWEST","Prov. Antwerpen","Arr. Antwerpen","",""
"BE212","BE212","European Union","Belgium","VLAAMS GEWEST","Prov. Antwerpen","Arr. Mechelen","",""
"BE213","BE213","European Union","Belgium","VLAAMS GEWEST","Prov. Antwerpen","Arr. Turnhout","",""
"BE221","BE221","European Union","Belgium","VLAAMS GEWEST","Prov. Limburg (B)","Arr. Hasselt","",""
"BE222","BE222","European Union","Belgium","VLAAMS GEWEST","Prov. Limburg (B)","Arr. Maaseik","",""
"BE223","BE223","European Union","Belgium","VLAAMS GEWEST","Prov. Limburg (B)","Arr. Tongeren","",""
"BE233","BE233","European Union","Belgium","VLAAMS GEWEST","Prov. Oost-Vlaanderen","Arr. Eeklo","",""
"BE231","BE231","European Union","Belgium","VLAAMS GEWEST","Prov. Oost-Vlaanderen","Arr. Aalst","",""
"BE232","BE232","European Union","Belgium","VLAAMS GEWEST","Prov. Oost-Vlaanderen","Arr. Dendermonde","",""
"BE235","BE235","European Union","Belgium","VLAAMS GEWEST","Prov. Oost-Vlaanderen","Arr. Oudenaarde","",""
"BE236","BE236","European Union","Belgium","VLAAMS GEWEST","Prov. Oost-Vlaanderen","Arr. Sint-Niklaas","",""
"BE234","BE234","European Union","Belgium","VLAAMS GEWEST","Prov. Oost-Vlaanderen","Arr. Gent","",""
"BE241","BE241","European Union","Belgium","VLAAMS GEWEST","Prov. Vlaams-Brabant","Arr. Halle-Vilvoorde","",""
"BE242","BE242","European Union","Belgium","VLAAMS GEWEST","Prov. Vlaams-Brabant","Arr. Leuven","",""
"BE258","BE258","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Veurne","",""
"BE251","BE251","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Brugge","",""
"BE255","BE255","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Oostende","",""
"BE256","BE256","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Roeselare","",""
"BE252","BE252","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Diksmuide","",""
"BE253","BE253","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Ieper","",""
"BE254","BE254","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Kortrijk","",""
"BE257","BE257","European Union","Belgium","VLAAMS GEWEST","Prov. West-Vlaanderen","Arr. Tielt","",""
"BE310","BE310","European Union","Belgium","RÉGION WALLONNE","Prov. Brabant Wallon","Arr. Nivelles","",""
"BE327","BE327","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Tournai","",""
"BE326","BE326","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Thuin","",""
"BE323","BE323","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Mons","",""
"BE322","BE322","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Charleroi","",""
"BE321","BE321","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Ath","",""
"BE325","BE325","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Soignies","",""
"BE324","BE324","European Union","Belgium","RÉGION WALLONNE","Prov. Hainaut","Arr. Mouscron","",""
"BE334","BE334","European Union","Belgium","RÉGION WALLONNE","Prov. Liège","Arr. Waremme","",""
"BE332","BE332","European Union","Belgium","RÉGION WALLONNE","Prov. Liège","Arr. Liège","",""
"BE331","BE331","European Union","Belgium","RÉGION WALLONNE","Prov. Liège","Arr. Huy","",""
"BE336","BE336","European Union","Belgium","RÉGION WALLONNE","Prov. Liège","Bezirk Verviers - Deutschsprachige Gemeinschaft","",""
"BE335","BE335","European Union","Belgium","RÉGION WALLONNE","Prov. Liège","Arr. Verviers - communes francophones","",""
"BE342","BE342","European Union","Belgium","RÉGION WALLONNE","Prov. Luxembourg (B)","Arr. Bastogne","",""
"BE343","BE343","European Union","Belgium","RÉGION WALLONNE","Prov. Luxembourg (B)","Arr. Marche-en-Famenne","",""
"BE341","BE341","European Union","Belgium","RÉGION WALLONNE","Prov. Luxembourg (B)","Arr. Arlon","",""
"BE344","BE344","European Union","Belgium","RÉGION WALLONNE","Prov. Luxembourg (B)","Arr. Neufchâteau","",""
"BE345","BE345","European Union","Belgium","RÉGION WALLONNE","Prov. Luxembourg (B)","Arr. Virton","",""
"BE353","BE353","European Union","Belgium","RÉGION WALLONNE","Prov. Namur","Arr. Philippeville","",""
"BE352","BE352","European Union","Belgium","RÉGION WALLONNE","Prov. Namur","Arr. Namur","",""
"BE351","BE351","European Union","Belgium","RÉGION WALLONNE","Prov. Namur","Arr. Dinant","",""
"BEZZZ","BEZZZ","European Union","Belgium","EXTRA-REGIO","Extra-Regio","Extra-Regio","",""
"BG311","BG311","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severozapaden","Vidin","",""
"BG312","BG312","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severozapaden","Montana","",""
"BG313","BG313","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severozapaden","Vratsa","",""
"BG314","BG314","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severozapaden","Pleven","",""
"BG315","BG315","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severozapaden","Lovech","",""
"BG322","BG322","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severen tsentralen","Gabrovo","",""
"BG323","BG323","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severen tsentralen","Ruse","",""
"BG324","BG324","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severen tsentralen","Razgrad","",""
"BG321","BG321","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severen tsentralen","Veliko Tarnovo","",""
"BG325","BG325","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severen tsentralen","Silistra","",""
"BG333","BG333","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severoiztochen","Shumen","",""
"BG332","BG332","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severoiztochen","Dobrich","",""
"BG334","BG334","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severoiztochen","Targovishte","",""
"BG331","BG331","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Severoiztochen","Varna","",""
"BG341","BG341","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Yugoiztochen","Burgas","",""
"BG342","BG342","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Yugoiztochen","Sliven","",""
"BG344","BG344","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Yugoiztochen","Stara Zagora","",""
"BG343","BG343","European Union","Bulgaria","SEVERNA I IZTOCHNA BULGARIA","Yugoiztochen","Yambol","",""
"BG415","BG415","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yugozapaden","Kyustendil","",""
"BG412","BG412","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yugozapaden","Sofia","",""
"BG414","BG414","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yugozapaden","Pernik","",""
"BG411","BG411","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yugozapaden","Sofia (stolitsa)","",""
"BG413","BG413","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yugozapaden","Blagoevgrad","",""
"BG422","BG422","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yuzhen tsentralen","Haskovo","",""
"BG423","BG423","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yuzhen tsentralen","Pazardzhik","",""
"BG425","BG425","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yuzhen tsentralen","Kardzhali","",""
"BG421","BG421","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yuzhen tsentralen","Plovdiv","",""
"BG424","BG424","European Union","Bulgaria","YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA","Yuzhen tsentralen","Smolyan","",""
"BGZZZ","BGZZZ","European Union","Bulgaria","EXTRA-REGIO","freiburg","Extra-Regio","",""
"CY000","CY000","European Union","Cyprus","KIBRIS","Kıbrıs","Kıbrıs","",""
"CYZZZ","CYZZZ","European Union","Cyprus","EXTRA-REGIO","Extra-Regio","Extra-Regio","",""
"CZ010","CZ010","European Union","Cekia","ČESKÁ REPUBLIKA","Praha","Hlavní město Praha","",""
"CZ020","CZ020","European Union","Cekia","ČESKÁ REPUBLIKA","Střední Čechy","Středočeský kraj","",""
"CZ032","CZ032","European Union","Cekia","ČESKÁ REPUBLIKA","Jihozápad","Plzeňský kraj","",""
"CZ031","CZ031","European Union","Cekia","ČESKÁ REPUBLIKA","Jihozápad","Jihočeský kraj","",""
"CZ041","CZ041","European Union","Cekia","ČESKÁ REPUBLIKA","Severozápad","Karlovarský kraj","",""
"CZ042","CZ042","European Union","Cekia","ČESKÁ REPUBLIKA","Severozápad","Ústecký kraj","",""
"CZ053","CZ053","European Union","Cekia","ČESKÁ REPUBLIKA","Severovýchod","Pardubický kraj","",""
"CZ051","CZ051","European Union","Cekia","ČESKÁ REPUBLIKA","Severovýchod","Liberecký kraj","",""
"CZ052","CZ052","European Union","Cekia","ČESKÁ REPUBLIKA","Severovýchod","Královéhradecký kraj","",""
"CZ063","CZ063","European Union","Cekia","ČESKÁ REPUBLIKA","Jihovýchod","Vysočina","",""
